41.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:26:28.0 (76105)|USER_INFO|[EXTERNAL]|005E0000004yLLO|worldcare@sadhanaconsulting.com.devfull|Eastern Standard Time|GMT-05:00
18:26:28.0 (112802)|EXECUTION_STARTED
18:26:28.0 (117492)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
18:26:28.0 (8706045)|CODE_UNIT_STARTED|[EXTERNAL]|01p44000002LDw8|MyCaseTeamWidgetController.getCases
18:26:28.0 (9225572)|METHOD_ENTRY|[1]|01p44000002LDw8|MyCaseTeamWidgetController.MyCaseTeamWidgetController()
18:26:28.0 (9384262)|METHOD_EXIT|[1]|MyCaseTeamWidgetController
18:26:28.0 (15448477)|METHOD_ENTRY|[9]||System.UserInfo.getUserId()
18:26:28.0 (15508241)|METHOD_EXIT|[9]||System.UserInfo.getUserId()
18:26:28.0 (18654810)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT Id, Name FROM User WHERE Id = :tmpVar1
18:26:28.0 (22440267)|SOQL_EXECUTE_END|[9]|Rows:1
18:26:28.0 (23518060)|SOQL_EXECUTE_BEGIN|[10]|Aggregations:0|SELECT Id, CreatedDate FROM Case ORDER BY CreatedDate DESC NULLS FIRST
18:26:28.0 (264970859)|SOQL_EXECUTE_END|[10]|Rows:5525
18:26:28.0 (747620493)|SOQL_EXECUTE_BEGIN|[17]|Aggregations:0|SELECT Id, RecordTypeId FROM Case 
18:26:28.0 (865473867)|SOQL_EXECUTE_END|[17]|Rows:5525
18:26:28.0 (866562560)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (866659519)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (866680821)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (866840031)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867081439)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867130492)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867149354)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867239693)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867490269)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867518095)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867527249)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867584279)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867747590)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867786104)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (867803187)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (867911481)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (868078438)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868125628)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868142339)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (868247230)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (868416355)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868462239)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868479099)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (868581635)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (868872829)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868918906)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (868936296)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (869041024)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.next()
18:26:28.0 (869330020)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (869376628)|METHOD_EXIT|[17]||Database.QueryLocatorIterator.hasNext()
18:26:28.0 (869393345)|METHOD_ENTRY|[17]||Database.QueryLocatorIterator.next()
